time,open,high,low,close,ATR,EMA,EMA,Hiden bar color (Open),Hiden bar color (High,Hiden bar color (Low),Hiden bar color (Close),EMA,Volume,Volume MA,Previous Cumulative Volume,Previous Day&#039;s Volume,Cumulative Volume,Previous Cumulative Volume Line,Cumulative Volume Ratio
2020-01-02T12:00:00Z,5.76,5.78,5.75,5.78,0.01998742276582088,5.86734192093646,5.847080231221624,5.76,5.78,5.75,5.78,NaN,5790,NaN,5790,0,5790,5790,1
2020-01-02T12:15:00Z,5.78,5.79,5.78,5.79,NaN,NaN,NaN,5.78,5.79,5.78,5.79,NaN,7640,NaN,13430,0,13430,13430,1
2020-01-02T12:30:00Z,5.79,5.8,5.79,5.79,NaN,NaN,NaN,5.79,5.8,5.79,5.79,NaN,2870,NaN,16300,0,16300,16300,1
2020-01-02T12:45:00Z,5.79,5.79,5.79,5.79,0.025444254990217054,NaN,NaN,5.79,5.79,5.79,5.79,NaN,1830,NaN,18130,0,18130,18130,1
2020-01-02T13:00:00Z,5.79,5.8,5.79,5.79,NaN,NaN,NaN,5.79,5.8,5.79,5.79,NaN,535,NaN,18665,0,18665,18665,1
2020-01-02T13:15:00Z,5.79,5.83,5.78,5.82,NaN,NaN,NaN,5.79,5.83,5.78,5.82,NaN,9460,NaN,28125,0,28125,28125,1
2020-01-02T13:30:00Z,5.83,5.83,5.81,5.82,NaN,NaN,NaN,5.83,5.83,5.81,5.82,NaN,4365,NaN,32490,0,32490,32490,1
2020-01-02T13:45:00Z,5.81,5.81,5.81,5.81,0.029908935901086647,NaN,NaN,5.81,5.81,5.81,5.81,NaN,4850,NaN,37340,0,37340,37340,1
2020-01-02T14:00:00Z,5.81,5.81,5.8,5.8,NaN,NaN,NaN,5.81,5.81,5.8,5.8,NaN,8160,NaN,45500,0,45500,45500,1
2020-01-02T14:15:00Z,5.81,5.81,5.8,5.81,NaN,NaN,NaN,5.81,5.81,5.8,5.81,NaN,5510,NaN,51010,0,51010,51010,1
2020-01-02T14:30:00Z,5.81,5.82,5.8,5.81,NaN,NaN,NaN,5.81,5.82,5.8,5.81,NaN,7945,NaN,58955,0,58955,58955,1
2020-01-02T14:45:00Z,5.81,5.81,5.81,5.81,0.02810731119179825,NaN,NaN,5.81,5.81,5.81,5.81,5.801666666666667,7305,NaN,66260,0,66260,66260,1
2020-01-02T15:00:00Z,5.81,5.82,5.81,5.81,NaN,NaN,NaN,5.81,5.82,5.81,5.81,5.802948717948718,2360,NaN,68620,0,68620,68620,1
2020-01-02T15:15:00Z,5.82,5.82,5.82,5.82,NaN,NaN,NaN,5.82,5.82,5.82,5.82,5.805571992110454,455,NaN,69075,0,69075,69075,1
2020-01-02T15:30:00Z,5.81,5.82,5.8,5.81,NaN,NaN,NaN,5.81,5.82,5.8,5.81,5.806253224093461,2425,NaN,71500,0,71500,71500,1
2020-01-02T15:45:00Z,5.81,5.81,5.8,5.8,0.02663325461147138,NaN,NaN,5.81,5.81,5.8,5.8,5.805291189617544,6175,NaN,77675,0,77675,77675,1
2020-01-02T16:00:00Z,5.8,5.81,5.79,5.79,NaN,NaN,NaN,5.8,5.81,5.79,5.79,5.802938698907153,5845,NaN,83520,0,83520,83520,1
2020-01-02T16:15:00Z,5.79,5.81,5.79,5.8,NaN,NaN,NaN,5.79,5.81,5.79,5.8,5.8024865913829755,2870,NaN,86390,0,86390,86390,1
2020-01-02T16:30:00Z,5.8,5.81,5.8,5.8,NaN,NaN,NaN,5.8,5.81,5.8,5.8,5.802104038862518,735,NaN,87125,0,87125,87125,1
2020-01-02T16:45:00Z,5.81,5.82,5.8,5.8,0.027245390136658446,NaN,NaN,5.81,5.82,5.8,5.8,5.801780340575976,6060,NaN,93185,0,93185,93185,1
2020-01-02T17:00:00Z,5.8,5.82,5.8,5.8,NaN,NaN,NaN,5.8,5.82,5.8,5.8,5.801506442025826,1800,NaN,94985,0,94985,94985,1
2020-01-02T17:15:00Z,5.8,5.81,5.79,5.8,NaN,NaN,NaN,5.8,5.81,5.79,5.8,5.801274681714161,5280,NaN,100265,0,100265,100265,1
2020-01-02T17:30:00Z,5.79,5.8,5.77,5.77,NaN,NaN,NaN,5.79,5.8,5.77,5.77,5.796463192219675,7960,NaN,108225,0,108225,108225,1
2020-01-02T17:45:00Z,5.78,5.79,5.77,5.78,0.0313825919299934,NaN,NaN,5.78,5.79,5.77,5.78,5.793930393416648,2470,NaN,110695,0,110695,110695,1
2020-01-02T18:00:00Z,5.78,5.8,5.77,5.78,NaN,NaN,NaN,5.78,5.8,5.77,5.78,5.791787255967933,11360,NaN,122055,0,122055,122055,1
2020-01-02T18:15:00Z,5.77,5.81,5.77,5.77,NaN,NaN,NaN,5.77,5.81,5.77,5.77,5.788435370434405,1270,NaN,123325,0,123325,123325,1
2020-01-02T18:30:00Z,5.77,5.78,5.77,5.77,NaN,NaN,NaN,5.77,5.78,5.77,5.77,5.785599159598342,11780,NaN,135105,0,135105,135105,1
2020-01-02T18:45:00Z,5.77,5.8,5.76,5.78,0.03476757521544912,NaN,NaN,5.77,5.8,5.76,5.78,5.784737750429366,10655,NaN,145760,0,145760,145760,1
2020-01-02T19:15:00Z,5.78,5.78,5.78,5.78,NaN,NaN,NaN,5.78,5.78,5.78,5.78,5.784008865747926,10390,NaN,156150,0,156150,156150,1
2020-01-02T19:45:00Z,5.78,5.79,5.77,5.78,0.032082561539913,NaN,NaN,5.78,5.79,5.77,5.78,5.783392117171322,3720,NaN,159870,0,159870,159870,1
2020-01-02T20:00:00Z,5.78,5.78,5.78,5.78,NaN,NaN,NaN,5.78,5.78,5.78,5.78,5.782870252991119,780,NaN,160650,0,160650,160650,1
2020-01-02T20:15:00Z,5.78,5.79,5.77,5.77,NaN,NaN,NaN,5.78,5.79,5.77,5.77,5.780890214069408,535,NaN,161185,0,161185,161185,1
