time,open,high,low,close,ATR,EMA,EMA,Hiden bar color (Open),Hiden bar color (High,Hiden bar color (Low),Hiden bar color (Close),EMA,Volume,Volume MA,Previous Cumulative Volume,Previous Day&#039;s Volume,Cumulative Volume,Previous Cumulative Volume Line,Cumulative Volume Ratio
2020-06-15T20:30:00Z,6.64,6.65,6.64,6.65,NaN,NaN,NaN,6.64,6.65,6.64,6.65,6.65775260429851,515,851.3,42789.5,30105,32170,NaN,0
2020-06-15T20:45:00Z,6.64,6.65,6.64,6.64,0.04498525532840629,NaN,NaN,6.64,6.65,6.64,6.64,6.655021434406431,425,834.8,43302.5,30105,32595,NaN,0
2020-06-16T12:00:00Z,6.59,6.62,6.58,6.6,NaN,6.741176911674666,6.943052028849389,6.59,6.62,6.58,6.6,6.646556598343904,330,828,1329,32595,330,NaN,0
2020-06-16T12:15:00Z,6.59,6.6,6.59,6.6,NaN,NaN,NaN,6.59,6.6,6.59,6.6,6.6393940447525335,1330,847.2,2833.5,32595,1660,NaN,0
2020-06-16T12:30:00Z,6.6,6.62,6.59,6.62,NaN,NaN,NaN,6.6,6.62,6.59,6.62,6.636410345559836,1040,865.8,4636,32595,2700,NaN,0
2020-06-16T12:45:00Z,6.61,6.61,6.59,6.6,0.04771520890505962,NaN,NaN,6.61,6.61,6.59,6.6,6.630808753935246,810,876,5739,32595,3510,NaN,0
2020-06-16T13:00:00Z,6.6,6.61,6.59,6.61,NaN,NaN,NaN,6.6,6.61,6.59,6.61,6.627607407175978,1130,878.6,7130.5,32595,4640,NaN,0
2020-06-16T13:15:00Z,6.61,6.63,6.61,6.62,NaN,NaN,NaN,6.61,6.63,6.61,6.62,6.626437036841212,645,866.1,9077,32595,5285,NaN,0
2020-06-16T13:30:00Z,6.62,6.64,6.61,6.63,NaN,NaN,NaN,6.62,6.64,6.61,6.63,6.626985185019487,3895,934.8,10357.5,32595,9180,NaN,0
2020-06-16T13:45:00Z,6.63,6.66,6.63,6.64,0.05176698910413974,NaN,NaN,6.63,6.66,6.63,6.64,6.628987464247258,6675,1058.5,12285,32595,15855,12285,1
2020-06-16T14:00:00Z,6.64,6.64,6.61,6.62,NaN,NaN,NaN,6.64,6.64,6.61,6.62,6.627604777439988,3990,1129.7,14014.5,32595,19845,14014.5,1
2020-06-16T14:15:00Z,6.62,6.65,6.62,6.64,NaN,NaN,NaN,6.62,6.65,6.62,6.64,6.629511734756913,3050,1185.1,15582.5,32595,22895,15582.5,1
2020-06-16T14:30:00Z,6.63,6.67,6.63,6.66,NaN,NaN,NaN,6.63,6.67,6.63,6.66,6.634202237102003,1640,1182.6,17462.5,32595,24535,17462.5,1
2020-06-16T14:45:00Z,6.66,6.74,6.66,6.73,0.06599117290338705,NaN,NaN,6.66,6.74,6.66,6.73,6.648940354470926,2260,1225.5,18842,32595,26795,18842,1
2020-06-16T15:00:00Z,6.73,6.74,6.71,6.72,NaN,NaN,NaN,6.73,6.74,6.71,6.72,6.659872607629245,1510,1251.8,20101.5,32595,28305,20101.5,1
2020-06-16T15:15:00Z,6.71,6.72,6.7,6.71,NaN,NaN,NaN,6.71,6.72,6.7,6.71,6.667584514147823,2350,1296.1,21221,32595,30655,21221,1
2020-06-16T15:30:00Z,6.71,6.72,6.7,6.7,NaN,NaN,NaN,6.71,6.72,6.7,6.7,6.672571511971235,1335,1306.6,22309.5,32595,31990,22309.5,1
2020-06-16T15:45:00Z,6.71,6.71,6.69,6.7,0.06308368692095301,NaN,NaN,6.71,6.71,6.69,6.7,6.676791279360276,1070,1313.1,23248,32595,33060,23248,1
2020-06-16T16:00:00Z,6.69,6.7,6.69,6.69,NaN,NaN,NaN,6.69,6.7,6.69,6.69,6.678823390227926,210,1261.7,24062,32595,33270,24062,1
2020-06-16T16:15:00Z,6.7,6.71,6.69,6.7,NaN,NaN,NaN,6.7,6.71,6.69,6.7,6.682081330192861,625,1248.9,24801,32595,33895,24801,1
2020-06-16T16:30:00Z,6.69,6.71,6.69,6.7,NaN,NaN,NaN,6.69,6.71,6.69,6.7,6.684838048624728,245,1251.7,25760.5,32595,34140,25760.5,1
2020-06-16T16:45:00Z,6.7,6.72,6.7,6.72,0.057068471117143256,NaN,NaN,6.7,6.72,6.7,6.72,6.690247579605539,300,1246,26708,32595,34440,26708,1
2020-06-16T17:00:00Z,6.72,6.73,6.72,6.73,NaN,NaN,NaN,6.72,6.73,6.72,6.73,6.696363336589302,885,1252.1,27242.5,32595,35325,27242.5,1
2020-06-16T17:15:00Z,6.72,6.73,6.72,6.73,NaN,NaN,NaN,6.72,6.73,6.72,6.73,6.701538207883256,925,1259.8,28965.5,32595,36250,28965.5,1
2020-06-16T17:30:00Z,6.74,6.74,6.72,6.72,NaN,NaN,NaN,6.74,6.74,6.72,6.72,6.704378483593524,985,1265.6,29549.5,32595,37235,29549.5,1
2020-06-16T17:45:00Z,6.72,6.74,6.72,6.74,0.05032874909584457,NaN,NaN,6.72,6.74,6.72,6.74,6.709858716886828,2380,1298.1,31025,32595,39615,31025,1
2020-06-16T18:00:00Z,6.74,6.74,6.72,6.72,NaN,NaN,NaN,6.74,6.74,6.72,6.72,6.7114189142888545,1000,1288.9,32965,32595,40615,32965,1
2020-06-16T18:15:00Z,6.72,6.74,6.71,6.73,NaN,NaN,NaN,6.72,6.74,6.71,6.73,6.7142775428598,3595,1345,34391.5,32595,44210,34391.5,1
2020-06-16T18:30:00Z,6.72,6.72,6.72,6.72,NaN,NaN,NaN,6.72,6.72,6.72,6.72,6.715157920881369,615,1346.1,35611.5,32595,44825,35611.5,1
2020-06-16T18:45:00Z,6.72,6.74,6.72,6.74,0.046632612896600145,NaN,NaN,6.72,6.74,6.72,6.74,6.718979779207312,570,1341.1,36806.5,32595,45395,36806.5,1
2020-06-16T19:30:00Z,6.74,6.74,6.74,6.74,NaN,NaN,NaN,6.74,6.74,6.74,6.74,6.722213659329264,1090,1342.4,38816,32595,46485,38816,1
2020-06-16T19:45:00Z,6.75,6.77,6.75,6.76,0.04360850146085455,NaN,NaN,6.75,6.77,6.75,6.76,6.728026942509377,470,1336.2,40666.5,32595,46955,40666.5,1
2020-06-16T20:00:00Z,6.76,6.76,6.74,6.74,NaN,NaN,NaN,6.76,6.76,6.74,6.74,6.729868951354089,605,1342.9,41504.5,32595,47560,41504.5,1
2020-06-16T20:15:00Z,6.74,6.75,6.73,6.74,NaN,NaN,NaN,6.74,6.75,6.73,6.74,6.731427574222691,255,1344.5,42528.5,32595,47815,42528.5,1
2020-06-16T20:30:00Z,6.74,6.75,6.74,6.75,NaN,NaN,NaN,6.74,6.75,6.74,6.75,6.734284870496123,1390,1333.9,43049.5,32595,49205,43049.5,1
2020-06-16T20:45:00Z,6.75,6.75,6.73,6.73,0.04113422846797179,NaN,NaN,6.75,6.75,6.73,6.73,6.733625659650565,820,1344.1,43562.5,32595,50025,43562.5,1
2020-06-17T12:00:00Z,6.72,6.73,6.71,6.72,NaN,6.7409629277338174,6.924592753499445,6.72,6.73,6.71,6.72,6.731529404319709,865,1358,1295,50025,865,NaN,0
2020-06-17T12:15:00Z,6.72,6.72,6.71,6.72,NaN,NaN,NaN,6.72,6.72,6.71,6.72,6.729755649808985,695,1345.3,2859,50025,1560,NaN,0
2020-06-17T12:30:00Z,6.71,6.75,6.71,6.75,NaN,NaN,NaN,6.71,6.75,6.71,6.75,6.732870165222987,730,1338.5,4552.5,50025,2290,NaN,0
2020-06-17T12:45:00Z,6.75,6.76,6.73,6.74,0.04274618692834052,NaN,NaN,6.75,6.76,6.73,6.74,6.733967062880989,1225,1335.9,5716.5,50025,3515,NaN,0
2020-06-17T13:00:00Z,6.73,6.73,6.72,6.72,NaN,NaN,NaN,6.73,6.73,6.72,6.72,6.731818283976222,70,1329.3,7170.5,50025,3585,NaN,0
2020-06-17T13:15:00Z,6.71,6.73,6.7,6.7,NaN,NaN,NaN,6.71,6.73,6.7,6.7,6.7269231633644955,755,1337.2,9157.5,50025,4340,NaN,0
2020-06-17T13:30:00Z,6.71,6.72,6.67,6.68,NaN,NaN,NaN,6.71,6.72,6.67,6.68,6.719704215154573,8555,1466.4,10682,50025,12895,10682,1
2020-06-17T13:45:00Z,6.68,6.69,6.66,6.69,0.049519607486824074,NaN,NaN,6.68,6.69,6.66,6.69,6.715134335900023,5680,1521.7,13250,50025,18575,13250,1
2020-06-17T14:00:00Z,6.68,6.7,6.68,6.69,NaN,NaN,NaN,6.68,6.7,6.68,6.69,6.711267514992327,630,1512.1,15356.5,50025,19205,15356.5,1
2020-06-17T14:15:00Z,6.69,6.71,6.69,6.69,NaN,NaN,NaN,6.69,6.71,6.69,6.69,6.707995589608893,360,1506.5,17167,50025,19565,17167,1
2020-06-17T14:30:00Z,6.7,6.7,6.69,6.7,NaN,NaN,NaN,6.7,6.7,6.69,6.7,6.706765498899832,1570,1503.4,19151,50025,21135,19151,1
2020-06-17T14:45:00Z,6.69,6.72,6.69,6.72,0.04778876976194698,NaN,NaN,6.69,6.72,6.69,6.72,6.708801575992166,2095,1537.9,20741.5,50025,23230,20741.5,1
2020-06-17T15:00:00Z,6.72,6.72,6.72,6.72,NaN,NaN,NaN,6.72,6.72,6.72,6.72,6.7105244104549095,40,1510.5,22106,50025,23270,22106,1
2020-06-17T15:15:00Z,6.71,6.72,6.71,6.72,NaN,NaN,NaN,6.71,6.72,6.71,6.72,6.711982193461846,1760,1519.9,23408.5,50025,25030,23408.5,1
2020-06-17T15:30:00Z,6.72,6.72,6.71,6.71,NaN,NaN,NaN,6.72,6.72,6.71,6.71,6.711677240621563,370,1517,24588.5,50025,25400,24588.5,1
2020-06-17T15:45:00Z,6.71,6.71,6.71,6.71,0.04091808435068385,NaN,NaN,6.71,6.71,6.71,6.71,6.711419203602861,340,1515.3,25615,50025,25740,25615,1
